PassengerId,Survived
1,1
2,1
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,0
12,0
13,0
14,0
15,1
16,0
17,1
18,1
19,1
20,0
21,1
22,0
23,0
24,0
25,1
26,1
27,0
28,1
29,0
30,1
31,0
32,0
33,0
34,0
35,1
36,1
37,1
38,1
39,1
40,1
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,1
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,1
57,0
58,1
59,1
60,0
61,1
62,1
63,1
64,0
65,0
66,0
67,1
68,0
69,0
70,1
71,0
72,0
73,0
74,1
75,0
76,1
77,1
78,1
79,0
80,1
81,0
82,0
83,0
84,1
85,0
86,1
87,1
88,1
89,1
90,0
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,0
99,0
100,1
101,0
102,0
103,1
104,1
105,0
106,0
107,1
108,0
109,1
110,1
111,1
112,1
113,1
114,0
115,1
116,0
117,0
118,0
119,1
120,1
121,1
122,0
123,1
124,1
125,0
126,0
127,0
128,1
129,0
130,1
131,1
132,1
133,0
134,1
135,0
136,1
137,1
138,1
139,0
140,0
141,0
142,1
143,0
144,0
145,0
146,0
147,1
148,0
149,1
150,0
151,0
152,1
153,1
154,1
155,1
156,1
157,1
158,0
159,0
160,0
161,0
162,0
163,1
164,0
165,1
166,1
167,1
168,1
169,1
170,0
171,1
172,1
173,0
174,1
175,1
176,0
177,0
178,1
179,1
180,0
181,1
182,0
183,1
184,0
185,1
186,1
187,0
188,1
189,1
190,1
191,0
192,0
193,1
194,0
195,0
196,1
197,0
198,1
199,1
200,1
201,1
202,1
203,1
204,0
205,0
206,0
207,1
208,1
209,1
210,0
211,0
212,0
213,0
214,1
215,1
216,0
217,0
218,0
219,1
220,0
221,1
222,0
223,0
224,0
225,1
226,0
227,0
228,0
229,0
230,1
231,0
232,0
233,0
234,0
235,0
236,1
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,1
249,0
250,0
251,0
252,1
253,1
254,1
255,1
256,1
257,1
258,0
259,0
260,0
261,1
262,0
263,1
264,1
265,1
266,0
267,0
268,1
269,1
270,0
271,1
272,1
273,1
274,1
275,1
276,0
277,1
278,0
279,0
280,1
281,1
282,0
283,0
284,1
285,0
286,1
287,0
288,0
289,0
290,0
291,1
292,1
293,1
294,0
295,0
296,0
297,1
298,0
299,0
300,1
301,1
302,0
303,1
304,0
305,0
306,0
307,0
308,1
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,1
318,1
319,1
320,1
321,0
322,1
323,0
324,1
325,1
326,1
327,0
328,1
329,1
330,0
331,1
332,0
333,0
334,0
335,0
336,0
337,1
338,0
339,0
340,0
341,1
342,1
343,1
344,0
345,0
346,1
347,0
348,0
349,1
350,0
351,1
352,0
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,0
361,0
362,0
363,1
364,1
365,0
366,0
367,1
368,1
369,1
370,1
371,0
372,0
373,1
374,1
375,0
376,1
377,1
378,0
379,0
380,1
381,0
382,1
383,1
384,1
385,0
386,1
387,0
388,1
389,0
390,1
391,1
392,1
393,0
394,1
395,0
396,0
397,0
398,0
399,0
400,1
401,1
402,1
403,1
404,1
405,0
406,0
407,0
408,0
409,0
410,1
411,0
412,0
413,0
414,1
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,1
424,1
425,0
426,0
427,1
428,0
429,0
430,0
431,0
432,1
433,0
434,0
435,0
436,0
437,1
438,1
439,1
440,1
441,1
442,1
443,0
444,0
445,1
446,1
447,1
448,1
449,0
450,0
451,1
452,0
453,1
454,0
455,1
456,0
457,1
458,0
459,0
460,1
461,0
462,1
463,1
464,1
465,1
466,1
467,0
468,1
469,0
470,0
471,1
472,0
473,1
474,1
475,1
476,1
477,0
478,1
479,1
480,1
481,0
482,1
483,1
484,0
485,0
486,0
487,0
488,0
489,0
490,1
491,0
492,0
493,0
494,1
495,1
496,1
497,0
498,1
499,0
500,0
501,0
502,0
503,1
504,1
505,1
506,0
507,0
508,0
509,1
510,1
511,0
512,1
513,0
514,1
515,1
516,0
517,0
518,0
519,0
520,1
521,1
522,0
523,1
524,1
525,1
526,0
527,0
528,1
529,0
530,1
531,0
532,1
533,1
534,0
535,0
536,1
537,0
538,0
539,1
540,1
541,1
542,0
543,1
544,0
545,0
546,1
547,0
548,1
549,1
550,0
551,1
552,0
553,1
554,1
555,1
556,0
557,0
558,0
559,1
560,0
561,1
562,0
563,1
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,1
573,1
574,0
575,0
576,1
577,0
578,1
579,1
580,0
581,1
582,1
583,0
584,1
585,0
586,1
587,1
588,1
589,1
590,0
591,1
592,1
593,1
594,0
595,0
596,0
597,1
598,1
599,0
600,0
