PassengerId,Survived
1,1
2,0
3,0
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,0
12,1
13,1
14,0
15,1
16,0
17,1
18,1
19,0
20,1
21,0
22,1
23,0
24,1
25,0
26,0
27,1
28,0
29,1
30,1
31,1
32,0
33,1
34,1
35,1
36,1
37,0
38,0
39,1
40,1
41,0
42,1
43,0
44,1
45,0
46,0
47,1
48,1
49,1
50,0
51,1
52,0
53,0
54,1
55,1
56,1
57,1
58,0
59,1
60,1
61,1
62,1
63,0
64,1
65,1
66,0
67,0
68,0
69,0
70,1
71,0
72,1
73,1
74,0
75,1
76,1
77,1
78,1
79,0
80,0
81,0
82,0
83,0
84,1
85,0
86,0
87,1
88,1
89,1
90,1
91,0
92,0
93,0
94,1
95,1
96,0
97,1
98,1
99,0
100,0
101,1
102,0
103,0
104,1
105,1
106,1
107,0
108,1
109,0
110,0
111,0
112,0
113,1
114,0
115,1
116,1
117,0
118,0
119,0
120,1
121,0
122,0
123,0
124,1
125,0
126,1
127,0
128,1
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,1
138,0
139,1
140,0
141,0
142,0
143,1
144,0
145,1
146,1
147,0
148,0
149,0
150,1
151,1
152,1
153,0
154,0
155,0
156,0
157,0
158,1
159,1
160,1
161,1
162,0
163,1
164,0
165,0
166,0
167,0
168,1
169,1
170,0
171,1
172,0
173,1
174,1
175,1
176,1
177,0
178,0
179,1
180,0
181,1
182,0
183,1
184,0
185,0
186,1
187,1
188,1
189,1
190,0
191,0
192,0
193,1
194,0
195,0
196,1
197,0
198,1
199,0
200,0
201,0
202,0
203,1
204,0
205,1
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,1
215,1
216,0
217,1
218,0
219,1
220,0
221,1
222,0
223,1
224,0
225,1
226,0
227,1
228,1
229,1
230,0
231,0
232,0
233,1
234,1
235,1
236,1
237,0
238,1
239,1
240,1
241,1
242,0
243,0
244,0
245,1
246,1
247,1
248,1
249,0
250,1
251,1
252,0
253,1
254,0
255,1
256,0
257,1
258,1
259,1
260,1
261,1
262,0
263,1
264,0
265,1
266,0
267,0
268,1
269,0
270,0
271,0
272,1
273,0
274,1
275,1
276,1
277,1
278,0
279,0
280,1
281,0
282,1
283,0
284,0
285,0
286,1
287,1
288,1
289,0
290,1
291,1
292,0
293,0
294,0
295,0
296,0
297,1
298,1
299,0
300,0
301,1
302,1
303,0
304,0
305,1
306,1
307,0
308,0
309,0
310,1
311,0
312,1
313,1
314,1
315,1
316,0
317,0
318,1
319,1
320,0
321,0
322,1
323,0
324,0
325,0
326,0
327,1
328,1
329,0
330,1
331,0
332,0
333,1
334,1
335,1
336,0
337,1
338,1
339,1
340,0
341,1
342,0
343,1
344,0
345,0
346,1
347,1
348,1
349,0
350,0
351,1
352,1
353,0
354,0
355,0
356,1
357,1
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,1
368,0
369,0
370,1
371,0
372,1
373,0
374,1
375,1
376,1
377,0
378,1
379,1
380,0
381,1
382,1
383,0
384,1
385,0
386,1
387,0
388,0
389,1
390,0
391,1
392,1
393,1
394,0
395,0
396,0
397,1
398,0
399,0
400,0
401,0
402,0
403,1
404,0
405,1
406,0
407,0
408,1
409,1
410,1
411,1
412,0
413,0
414,1
415,0
416,1
417,1
418,0
419,0
420,0
421,1
422,1
423,1
424,1
425,1
426,0
427,0
428,0
429,0
430,0
431,1
432,1
433,0
434,0
435,1
436,1
437,1
438,1
439,0
440,0
441,0
442,1
443,1
444,0
445,0
446,1
447,0
448,1
449,1
450,1
451,1
452,0
453,0
454,1
455,1
456,1
457,0
458,1
459,1
460,1
461,1
462,0
463,1
464,1
465,0
466,1
467,0
468,1
469,0
470,0
471,0
472,1
473,1
474,1
475,1
476,1
477,0
478,1
479,0
480,1
481,1
482,1
483,0
484,0
485,0
486,1
487,1
488,1
489,1
490,0
491,0
492,1
493,1
494,1
495,0
496,0
497,1
498,0
499,1
500,1
501,0
502,0
503,0
504,0
505,0
506,0
507,1
508,0
509,1
510,0
511,1
512,1
513,0
514,1
515,0
516,0
517,1
518,1
519,1
520,1
521,1
522,0
523,1
524,1
525,0
526,1
527,0
528,0
529,0
530,0
531,0
532,0
533,1
534,1
535,0
536,0
537,1
538,0
539,0
540,0
541,0
542,0
543,1
544,0
545,1
546,1
547,1
548,1
549,1
550,1
551,0
552,1
553,1
554,1
555,1
556,0
557,0
558,0
559,1
560,0
561,0
562,1
563,0
564,0
565,1
566,0
567,1
568,0
569,1
570,0
571,0
572,1
573,0
574,1
575,1
576,0
577,1
578,1
579,1
580,0
581,0
582,1
583,1
584,0
585,0
586,1
587,0
588,0
589,1
590,1
591,1
592,1
593,0
594,0
595,1
596,1
597,1
598,0
599,1
600,0
601,0
602,0
603,0
604,1
605,0
606,0
607,0
608,1
609,0
610,0
611,0
612,0
613,1
614,1
615,0
616,1
617,1
618,1
619,1
620,1
621,0
622,0
623,1
624,0
625,1
626,0
627,1
628,0
629,1
630,1
631,0
632,1
633,1
634,1
635,1
636,1
637,1
638,1
639,0
640,0
641,0
642,1
643,1
644,0
645,0
646,0
647,0
648,1
649,1
650,0
651,0
652,0
653,1
654,1
655,1
656,0
657,1
658,0
659,0
660,1
661,1
662,1
663,0
664,1
665,0
666,1
667,0
668,0
669,0
670,1
671,0
672,0
673,1
674,0
675,0
676,1
677,0
678,0
679,0
680,1
681,1
682,0
683,0
684,0
685,1
686,1
687,1
688,1
689,0
690,1
691,1
692,1
693,1
694,0
695,1
696,0
697,0
698,0
699,0
700,0
701,1
702,1
703,1
704,0
705,1
706,1
707,1
708,1
709,0
710,0
711,1
712,1
713,1
714,0
715,1
716,1
717,0
718,0
719,0
720,0
721,1
722,1
723,1
724,0
725,1
726,1
727,0
728,0
729,1
730,0
731,1
732,1
733,1
734,0
735,1
736,0
737,0
738,1
739,0
740,1
741,1
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,1
750,0
751,0
752,1
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,1
761,0
762,1
763,1
764,0
765,1
766,0
767,0
768,0
769,0
770,0
771,0
772,1
773,1
774,1
775,1
776,0
777,1
778,0
779,1
780,0
781,0
782,0
783,1
784,1
785,0
786,0
787,0
788,1
789,1
790,0
791,0
792,0
793,0
794,0
795,0
796,1
797,0
798,0
799,1
800,1
801,0
802,0
803,0
804,1
805,1
806,0
807,1
808,1
809,0
810,1
811,1
812,0
813,0
814,1
815,0
816,1
817,0
818,1
819,1
820,0
821,1
822,0
823,1
824,1
825,1
826,1
827,1
828,0
829,1
830,1
831,1
832,1
833,1
834,1
835,0
836,1
837,0
838,0
839,1
840,1
841,0
842,0
843,1
